player,suggest_1,sugges_score_1,suggest_2,sugges_score_2,suggest_3,sugges_score_3
bbvqkokv,zgpwqgja,98.12363,dvaqjqbv,96.32017,vnygznmg,96.20601
bbvqmqpm,rbvzqjvw,97.62412,kpnmqjmj,95.40141,jbvmlnmd,95.34898
bbvqwvlq,vnygzgbg,100.01704,rbvzmlov,97,wqrbmnvm,95.87559
bbvqzyly,wqrbjgjq,98.33333,pjowzngv,97.77668,rbvzqjvw,97.62412
bbvvpgjv,mmgwbyqz,180.54248,wvvnmrng,100.43349,vnyzdaqo,99.37332
bbvygjdw,bbvmwqln,198.49518,oqrwvjbq,196.01344,wqrbmono,195.07812
bbyonvbz,kpdkzrda,91.16915,pjgpnmyk,91.00807,dvnpmody,90.97233
bbyzalqa,dvnpmody,90.97233,azyqnzlr,90.11033,kpdrqgrk,88.53113
bbyzamap,oqjzrbnv,807.58161,kpdrqgrk,708.24904,pjgrlygm,694.51824
bbzpldzr,mlzvarvq,193.1383,dvaqjqbv,192.64034,vnjwrqkm,182.10988
bbzpvdmn,kpyrwobz,99.67354,rbqqjwjr,97.97563,ygbmogzo,95.42801
bbzrkjpg,oqjzrbnv,1435.70064,azojmzgj,975.45921,azormlbb,829.14786
bbzwlozw,zgpnppvo,185.31502,nrjqygay,103.06457,rrwbbjyy,99.62989
bgwlvpmpb,mmrknamp,96.1053,pjbrmlnj,96.01408,gqanpbjk,94.20266
bgwlvrkrj,gbvzjrrk,109.41393,wqooymnp,97.36309,zgpppalp,95.06781
bgwlvrqak,yvyjbprvw,88.56112,oadnyykpb,85.07713,ddwlajwlb,84.14395
bgwnjkdpw,vnygzgbg,100.01704,rbvzzgva,98.33363,zgvldojv,97.56182
bgwnjnqyz,wqrbjvkp,194.4796,vnyzdaqo,99.37332,jrqbmrzv,97.77633
blkkmjkd,azbadykb,97.14789,lvaoyyda,96.74506,zgyddrwd,96.55164
blkkwadv,azbaqqml,873.35919,rbvzzgva,491.66815,zgvldojv,487.8091
bqwywgmy,vnygznmg,288.61803,vnaplbvk,281.7183,bbzrkjpg,274.61229
bzgjpbnq,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
bzgjvqap,rbvzzgva,98.33363,wqrbmono,97.53906,azbaqqml,97.03991
bzkdzpvz,rbvzzgva,98.33363,prwbdjpj,96.26867,kpnmqjmj,95.40141
bzmgrldz,nrjqygay,103.06457,aoavzopr,101.95451,rrpywlyv,100.01791
bzmrdyyp,zqzjoqgo,99.65415,ynojblap,99.20138,zgvzzvnr,94.98463
bzmrkapz,gbvzjrrk,109.41393,wvnmkdrd,101.6,ygjjlnwq,97.75752
bzmrpjdv,bqwywgmy,112.68259,aoavzopr,101.95451,ojpakooj,100.97156
bzmrrqqg,nrjqygay,103.06457,pryjgvrw,98.47265,nnppdald,98.38905
bzmryrom,rbvzmlov,97,vpdvznqb,95.02229,prwbkdmr,93.18744
bzmrzagq,rbvzmlov,97,vpdvznqb,95.02229,prwbkdmr,93.18744
